user_id,age,gender,annual_income,device_mobile,traffic_source,product_category,current_session_duration_sec,time_spent_deviation,pages_viewed,basket_icon_click,cart_items_count_this_session,cart_total_value,scrolled_to_reviews,checked_delivery_pdp,saw_checkout,sign_in,is_returning_user,lifetime_purchases_count,customer_conversion_rate,days_since_last_discount,previous_review_sentiment,social_channels_followed_count,should_receive_discount
usr_0022,55,1,50954.22,1,1,2,210.4,-17.3,5,1,1,15.41,0,1,0,0,0,0,0.005,999,1,1,0
usr_0023,19,0,33937.97,0,2,0,202.3,37.7,5,1,2,78.5,1,0,0,1,1,4,0.182,60,2,4,1
usr_0024,38,0,22564.35,1,2,3,71.1,-214.8,2,1,3,116.02,1,0,1,0,0,0,0.005,999,1,3,1
usr_0025,50,0,64746.33,0,2,0,248.2,82.0,5,0,0,6.35,0,1,0,0,0,0,0.005,999,1,3,0
usr_0026,29,1,68664.79,0,2,0,85.7,-85.8,2,1,1,41.95,1,1,0,1,1,0,0.005,999,1,1,1
usr_0027,39,1,44622.81,0,2,3,226.3,74.6,6,1,2,28.52,1,1,0,1,1,6,0.3,5,1,4,0
usr_0028,61,1,18000.0,1,1,1,243.2,41.4,5,1,1,34.82,1,0,1,1,1,3,0.231,30,2,2,1
usr_0029,42,0,45167.6,1,3,1,55.0,-113.4,1,1,1,32.32,0,1,1,0,0,0,0.005,999,1,3,0
usr_0030,44,1,62052.47,1,4,1,202.2,25.4,6,1,1,29.52,0,1,1,1,1,1,0.043,30,1,1,1
usr_0031,59,0,28379.59,0,3,3,232.5,60.7,4,0,0,6.09,0,0,0,0,0,0,0.005,999,1,0,0
usr_0032,45,1,58300.48,1,1,0,141.1,-29.8,5,0,0,4.98,0,0,0,1,1,3,0.273,90,0,3,1
usr_0033,33,0,54724.42,1,1,3,123.0,-63.3,4,0,0,4.92,1,0,0,1,1,6,0.5,90,2,1,1
usr_0034,32,0,65427.25,1,1,0,300.6,138.6,6,1,1,40.01,1,0,0,1,1,6,0.375,5,0,4,1
usr_0035,64,1,57152.45,1,2,2,134.5,-29.4,2,0,0,4.92,1,0,0,1,0,0,0.005,999,1,0,1
usr_0036,61,0,37484.76,0,2,3,144.8,-78.1,4,0,0,5.98,0,1,0,1,1,7,0.389,180,2,4,1
usr_0037,20,1,76538.29,1,3,0,147.4,-20.9,3,1,1,37.15,0,0,1,1,1,1,0.036,30,2,0,0
usr_0038,54,1,52146.47,0,1,1,89.6,-105.7,3,1,0,5.41,1,1,0,1,1,2,0.069,5,1,1,0
usr_0039,24,0,54508.52,1,1,0,41.4,-103.0,1,0,0,3.85,0,1,0,1,1,4,0.143,5,2,1,0
usr_0040,38,1,38201.18,0,2,2,226.8,64.6,4,1,3,95.51,0,0,1,1,1,3,0.136,90,1,2,1
usr_0041,26,0,47020.92,0,3,1,145.7,15.0,3,0,0,4.67,0,0,0,1,1,7,0.2,60,0,2,1
usr_0042,56,1,39073.55,1,1,2,228.3,-25.9,4,1,2,45.75,0,0,1,1,1,2,0.074,60,2,1,1
usr_0043,35,1,51886.97,1,3,0,224.6,-10.4,4,1,1,28.5,1,1,1,0,0,0,0.005,999,1,0,1
usr_0044,21,1,85810.75,0,1,0,102.1,-101.7,6,1,2,38.68,0,1,0,0,0,0,0.005,999,1,1,1
usr_0045,42,0,30305.78,1,4,0,89.4,-176.6,3,1,1,32.99,1,0,1,1,1,6,0.273,12,2,1,0
usr_0046,31,1,25955.89,1,4,0,229.0,18.2,5,0,0,5.32,1,1,0,1,1,1,0.067,180,2,2,1
usr_0047,26,1,81481.07,0,1,1,51.8,-121.3,2,1,2,55.97,0,0,0,1,1,1,0.033,12,2,0,1
usr_0048,43,0,51232.17,1,1,3,94.5,-100.4,3,1,1,43.88,1,1,1,0,0,0,0.005,999,1,1,0
usr_0049,19,0,42956.69,0,2,2,298.1,63.7,5,1,2,50.83,0,0,1,0,0,0,0.005,999,1,4,1
usr_0050,37,1,73718.28,1,1,1,146.5,1.7,4,1,1,30.72,1,0,0,1,1,4,0.167,12,2,0,0
usr_0051,45,1,44098.92,1,3,3,352.2,219.1,7,1,4,113.32,0,0,1,1,1,2,0.125,90,1,2,1
usr_0052,64,1,87868.17,0,4,2,329.8,133.6,8,1,2,57.67,1,0,1,0,0,0,0.005,999,1,0,1
usr_0053,24,1,67202.67,0,3,3,235.4,78.9,7,1,4,216.7,0,0,1,1,0,0,0.005,999,1,0,1
usr_0054,61,1,46217.59,1,4,1,72.6,-17.0,3,1,1,18.12,1,1,0,1,1,3,0.094,180,2,2,0
usr_0055,25,0,93831.55,1,2,0,269.3,139.0,6,1,1,37.15,1,0,0,0,0,0,0.005,999,1,1,1
usr_0056,64,0,44097.13,1,1,0,357.2,189.7,6,1,2,102.84,0,1,0,0,0,0,0.005,999,1,1,1
usr_0057,52,0,68357.72,1,3,2,141.2,-40.7,4,1,3,121.9,1,0,1,0,0,0,0.005,999,1,3,1
usr_0058,31,1,60387.27,1,2,0,257.4,74.3,6,1,4,129.5,0,1,1,0,0,0,0.005,999,1,3,1
usr_0059,34,0,78431.34,0,3,0,186.6,-73.6,8,1,1,22.62,0,1,1,1,1,3,0.158,12,0,3,1
usr_0060,53,1,83107.2,1,1,1,140.2,-31.5,4,1,2,84.88,1,1,1,0,0,0,0.005,999,1,2,1
usr_0061,57,1,55576.07,1,1,1,233.0,41.9,5,0,0,3.81,1,0,0,0,0,0,0.005,999,1,1,0
usr_0062,21,1,41438.48,0,4,2,306.0,191.0,6,1,1,19.76,0,0,1,1,1,4,0.235,180,2,1,1
usr_0063,19,0,63279.5,0,1,0,292.5,113.7,6,1,0,4.34,0,1,0,1,0,0,0.005,999,1,2,1
usr_0064,23,1,42801.12,0,4,1,90.6,-102.8,5,1,1,22.35,1,0,0,1,0,0,0.005,999,1,1,1
usr_0065,59,0,91240.97,1,4,2,150.6,25.6,4,1,3,27.37,1,0,0,0,0,0,0.005,999,1,0,1
usr_0066,21,1,57457.64,1,3,3,126.1,-16.5,4,0,0,3.32,0,0,0,1,1,1,0.034,180,1,0,1
usr_0067,46,0,48424.21,0,3,2,121.4,-78.2,3,1,1,32.84,0,1,1,1,1,3,0.2,12,2,1,0
usr_0068,35,0,58324.25,1,3,3,128.5,-29.6,3,1,1,36.64,1,1,1,1,1,3,0.158,60,1,0,0
usr_0069,43,1,30751.73,0,4,2,329.3,153.4,6,1,0,6.9,1,1,0,1,0,0,0.005,999,1,0,1
usr_0070,61,0,37510.95,1,1,1,186.7,-14.9,4,1,1,42.99,1,0,1,1,1,4,0.286,12,2,2,0
usr_0071,51,0,76607.45,0,2,0,69.5,-192.0,1,1,1,40.24,0,0,1,1,1,6,0.171,180,1,0,0
usr_0072,27,1,43175.9,1,3,2,75.7,-95.4,2,0,0,4.53,1,1,0,1,1,1,0.067,12,1,2,0
usr_0073,53,1,36155.6,1,2,2,150.5,-100.3,6,1,2,59.96,1,0,1,0,0,0,0.005,999,1,2,1
usr_0074,31,1,64659.75,1,2,2,299.8,198.2,5,1,4,140.25,0,0,0,0,0,0,0.005,999,1,0,1
usr_0075,48,1,76342.67,1,2,1,328.9,143.0,7,0,0,6.72,1,0,0,0,0,0,0.005,999,1,0,1
usr_0076,32,1,67941.16,0,3,1,199.0,32.4,6,0,0,3.3,1,0,0,0,0,0,0.005,999,1,0,1
usr_0077,25,0,72928.86,1,4,0,57.8,-100.9,1,1,1,29.64,0,0,0,0,0,0,0.005,999,1,1,1
usr_0078,31,0,41377.69,0,1,1,312.6,106.3,6,1,2,74.65,1,0,1,1,1,2,0.167,180,1,2,1
usr_0079,40,0,29407.41,0,4,0,261.1,89.7,6,1,1,42.52,1,0,0,0,0,0,0.005,999,1,1,1
usr_0080,57,1,82024.01,1,3,3,200.0,101.0,6,0,0,5.24,1,0,0,1,1,2,0.2,180,2,1,1
usr_0081,38,1,49191.76,0,4,0,186.0,69.5,5,1,1,34.67,1,1,0,1,1,5,0.238,180,0,1,1
usr_0082,33,0,50485.01,0,3,0,186.4,-22.5,4,1,4,174.64,0,0,0,0,0,0,0.005,999,1,2,1
usr_0083,62,1,78907.49,1,3,1,266.8,152.3,6,1,1,35.39,0,0,0,1,0,0,0.005,999,1,0,1
usr_0084,35,1,65012.14,1,1,2,285.2,75.2,5,1,1,31.29,1,1,0,0,0,0,0.005,999,1,2,1
usr_0085,64,0,63205.98,1,4,1,306.0,121.0,8,1,4,175.32,0,1,1,1,0,0,0.005,999,1,2,1
usr_0086,41,1,93970.04,0,1,0,97.8,-75.4,3,1,2,75.52,0,0,0,1,1,3,0.231,12,2,0,0
usr_0087,43,1,43416.67,0,4,1,225.3,48.6,3,1,2,84.83,0,1,0,0,0,0,0.005,999,1,1,1
usr_0088,42,1,71701.12,1,4,0,265.1,64.5,6,1,1,22.5,0,0,0,1,1,4,0.267,5,1,0,0
usr_0089,62,0,56026.24,0,1,3,262.6,129.7,5,1,4,100.47,1,0,1,1,1,1,0.033,30,1,1,1
usr_0090,58,1,59834.66,0,1,3,290.1,108.4,6,1,2,50.92,0,0,1,0,0,0,0.005,999,1,0,1
usr_0091,46,1,82512.43,1,3,1,265.9,131.5,6,1,3,100.36,0,0,1,1,1,0,0.005,999,2,0,1
usr_0092,32,1,64141.04,1,1,0,236.1,49.6,6,1,2,93.19,1,1,0,1,1,1,0.05,30,2,1,1
usr_0093,62,1,64689.33,1,4,2,31.6,-174.3,3,1,2,45.78,1,0,0,0,0,0,0.005,999,1,2,1
usr_0094,18,1,74305.13,0,1,0,148.7,-37.9,5,1,1,39.24,1,0,1,1,1,4,0.235,180,2,4,1
usr_0095,42,1,48430.85,0,1,1,232.2,27.9,5,1,1,22.38,1,1,1,0,0,0,0.005,999,1,2,1
usr_0096,24,0,39894.23,1,4,0,19.9,-132.1,1,1,2,97.88,1,0,0,1,1,8,0.333,12,2,1,1
usr_0097,26,1,36193.43,0,3,3,135.1,-42.4,3,1,1,19.23,1,1,1,0,0,0,0.005,999,1,4,1
usr_0098,41,1,19605.58,1,4,0,60.4,-110.1,1,1,1,37.92,1,1,0,1,0,0,0.005,999,1,0,0
usr_0099,18,0,92011.73,1,2,1,312.5,144.6,6,1,0,6.69,1,0,0,1,1,3,0.3,60,2,0,0
usr_0100,61,1,35142.25,1,3,2,389.9,241.9,8,1,2,73.92,0,1,1,0,0,0,0.005,999,1,1,1
usr_0101,25,1,51017.43,0,3,1,167.0,4.3,3,0,0,5.33,1,0,0,0,0,0,0.005,999,1,1,1
usr_0102,41,1,50017.36,0,3,0,131.0,-4.5,2,1,2,47.1,0,0,0,0,0,0,0.005,999,1,1,1
usr_0103,28,1,60533.32,1,3,3,331.4,219.2,6,1,1,42.18,0,0,0,1,1,3,0.3,180,1,2,1
usr_0104,34,0,69683.27,1,3,1,181.9,29.9,4,0,0,3.51,0,1,0,0,0,0,0.005,999,1,0,1
usr_0105,25,1,70488.52,1,2,2,242.8,37.8,6,1,1,40.28,0,1,1,1,1,3,0.167,180,0,1,1
usr_0106,52,1,44504.61,0,1,0,178.0,-11.4,4,1,1,41.25,1,0,1,1,1,2,0.077,180,0,1,1
usr_0107,52,0,51991.81,0,3,1,85.9,-43.8,2,1,1,19.71,1,0,1,1,1,2,0.1,30,2,3,0
usr_0108,50,1,60086.44,1,1,1,172.7,8.9,3,1,1,19.47,1,0,1,0,0,0,0.005,999,1,4,0
usr_0109,22,1,50523.56,1,3,0,200.0,-7.7,4,0,0,4.31,1,1,0,0,0,0,0.005,999,1,2,1
usr_0110,59,1,83932.22,1,1,0,189.6,27.5,5,1,4,112.65,0,1,0,1,1,5,0.2,12,2,1,0
usr_0111,56,1,63837.55,0,3,3,124.3,1.0,2,0,0,2.99,1,1,0,1,1,1,0.125,90,2,2,0
usr_0112,58,0,68227.8,1,3,0,85.5,-184.8,2,1,2,68.44,0,1,1,1,1,1,0.038,90,2,0,1
usr_0113,45,0,66931.86,1,1,0,241.7,68.4,8,1,1,40.92,1,0,0,1,1,3,0.13,60,2,4,1
usr_0114,24,0,76122.53,1,1,1,132.1,-1.4,3,1,1,29.65,0,0,1,0,0,0,0.005,999,1,3,1
usr_0115,26,1,58258.39,1,1,2,132.9,-54.0,4,1,1,25.48,0,0,0,1,1,4,0.143,30,2,1,0
usr_0116,25,0,31657.02,0,3,0,217.4,40.8,4,1,2,77.01,1,1,0,0,0,0,0.005,999,1,2,1
usr_0117,29,0,62194.38,1,4,1,221.5,103.2,7,1,2,59.49,1,0,0,1,1,3,0.15,60,2,1,1
usr_0118,51,0,43275.58,0,1,0,244.2,60.5,6,1,2,65.72,1,0,1,1,1,1,0.059,90,2,0,1
usr_0119,50,1,45484.9,1,3,0,63.8,-155.5,1,0,0,5.28,1,1,0,0,0,0,0.005,999,1,2,0
usr_0120,40,1,65554.55,1,2,0,169.8,-0.9,5,1,2,69.44,0,1,0,1,1,5,0.172,180,2,1,1
usr_0121,41,0,77289.1,1,2,3,282.1,184.5,6,1,1,23.89,1,0,1,1,0,0,0.005,999,1,4,1
usr_0122,54,0,55382.89,1,4,0,154.1,-39.6,5,0,0,4.89,1,1,0,1,1,3,0.115,180,1,1,1
usr_0123,52,1,60558.99,0,2,0,184.2,-19.9,4,1,1,31.74,0,1,1,0,0,0,0.005,999,1,3,1
usr_0124,61,1,85639.87,1,2,1,387.0,230.5,8,1,1,25.89,0,0,0,0,0,0,0.005,999,1,2,1
usr_0125,57,0,59333.56,1,1,3,210.0,53.2,5,1,1,36.25,0,0,1,0,0,0,0.005,999,1,3,1
usr_0126,39,1,101830.3,0,1,0,133.7,-136.6,3,1,2,51.76,1,0,1,0,0,0,0.005,999,1,0,1
usr_0127,44,0,65179.17,0,1,1,148.5,-5.2,3,1,1,26.23,0,0,0,1,0,0,0.005,999,1,1,1
usr_0128,52,0,23306.27,1,1,0,232.3,97.2,6,1,1,22.39,0,1,1,1,0,0,0.005,999,1,3,1
usr_0129,18,1,68560.15,0,3,1,164.5,-16.5,3,0,0,4.7,0,0,0,0,0,0,0.005,999,1,2,1
usr_0130,52,0,61860.85,1,2,1,69.0,-134.0,1,1,2,72.55,1,0,0,1,1,1,0.045,12,2,1,1
usr_0131,54,1,78215.55,1,2,1,185.8,-15.5,6,1,1,41.32,1,0,1,1,1,1,0.083,90,1,1,1
usr_0132,64,0,67117.26,1,1,0,196.1,114.8,3,1,1,28.4,1,0,1,0,0,0,0.005,999,1,4,1
usr_0133,31,1,52507.79,0,1,0,121.6,-32.0,3,1,2,51.22,0,0,1,0,0,0,0.005,999,1,2,1
usr_0134,20,1,32962.63,1,3,0,460.0,233.9,7,1,1,17.5,0,1,1,0,0,0,0.005,999,1,2,1
usr_0135,18,0,51237.58,1,4,1,231.6,38.5,6,1,1,14.61,0,0,0,1,1,2,0.286,90,1,3,0
usr_0136,22,1,39690.63,0,1,0,303.4,172.8,6,1,1,37.81,1,1,0,1,0,0,0.005,999,1,1,0
usr_0137,43,0,44550.58,1,4,2,254.6,24.9,5,1,1,16.21,0,1,1,1,1,5,0.2,90,2,4,0
usr_0138,31,1,65594.41,1,3,3,118.6,-100.0,3,1,2,45.7,0,0,1,0,0,0,0.005,999,1,1,1
usr_0139,56,0,85058.28,1,3,3,176.0,7.9,4,1,1,34.27,1,1,1,1,1,5,0.208,90,2,1,1
usr_0140,44,0,62104.09,0,2,3,241.6,26.4,4,0,0,4.17,0,1,0,0,0,0,0.005,999,1,0,1
usr_0141,26,0,33474.1,1,1,2,193.2,-66.8,5,0,0,6.15,1,0,0,1,1,1,0.059,90,0,1,1
usr_0142,32,1,63002.85,0,1,2,117.5,-20.3,3,1,1,32.06,0,0,1,1,1,5,0.5,60,2,1,1
usr_0143,32,1,76539.37,0,3,0,195.6,-6.6,7,1,3,87.43,1,1,1,0,0,0,0.005,999,1,2,1
usr_0144,43,1,44023.91,1,2,2,188.9,-70.5,3,1,1,22.9,0,1,1,1,1,0,0.005,999,2,3,1
usr_0145,59,0,52587.69,1,4,1,46.7,-159.4,1,1,0,2.99,0,0,0,1,1,4,0.174,12,0,4,1
usr_0146,30,1,55264.39,0,2,1,338.9,189.1,6,1,2,59.38,0,0,1,1,1,2,0.067,60,2,0,1
usr_0147,49,0,40871.83,0,1,2,176.4,-13.2,5,1,2,33.75,1,0,1,0,0,0,0.005,999,1,2,1
usr_0148,56,1,66669.05,0,3,0,282.6,47.8,5,1,3,77.13,1,0,1,1,0,0,0.005,999,1,2,1
usr_0149,49,0,52822.93,0,1,0,260.9,121.5,5,1,1,29.02,0,0,1,1,1,2,0.125,12,2,0,0
usr_0150,21,0,62551.58,0,2,3,347.8,169.0,9,1,3,79.46,1,0,1,1,1,1,0.062,180,0,1,1
usr_0151,47,0,39025.14,0,3,0,168.4,-1.9,5,0,0,4.47,1,0,0,0,0,0,0.005,999,1,1,1
usr_0152,54,1,47125.75,1,4,1,141.2,-13.5,4,1,0,5.37,1,0,0,1,1,4,0.4,12,2,0,0
usr_0153,40,1,68002.86,1,3,3,108.5,-81.2,3,0,0,6.13,1,0,0,0,0,0,0.005,999,1,0,0
usr_0154,56,0,48289.0,1,3,2,329.2,153.2,6,1,2,88.18,0,0,0,1,0,0,0.005,999,1,2,1
usr_0155,62,1,86085.35,1,3,1,54.4,-151.3,1,0,0,5.03,1,0,0,0,0,0,0.005,999,1,2,0
usr_0156,32,1,47806.55,0,4,0,145.6,-80.0,5,1,1,28.63,0,0,0,0,0,0,0.005,999,1,2,1
usr_0157,60,1,59044.33,1,1,0,234.3,105.2,6,1,1,41.82,0,1,1,1,1,2,0.069,5,2,2,0
usr_0158,46,0,71786.63,1,1,3,166.2,-16.5,4,1,1,18.03,0,1,1,1,0,0,0.005,999,1,0,1
usr_0159,53,0,29469.42,1,1,1,98.5,-79.4,6,1,3,67.77,1,0,1,1,1,6,0.273,12,1,0,0
usr_0160,30,1,23305.44,1,1,1,163.1,-25.0,4,1,0,4.64,1,0,0,1,1,4,0.154,12,2,0,0
usr_0161,49,0,27538.19,1,3,0,255.9,76.5,5,1,1,48.35,1,0,0,0,0,0,0.005,999,1,1,1
usr_0162,24,0,77726.51,1,3,0,165.9,25.1,4,1,2,48.41,1,0,1,0,0,0,0.005,999,1,4,1
usr_0163,39,1,45066.55,0,3,3,227.8,-10.4,5,1,0,6.02,1,0,0,1,1,1,0.111,5,0,2,0
usr_0164,45,1,101047.59,1,1,1,195.8,-59.4,4,1,2,63.55,0,0,0,0,0,0,0.005,999,1,0,0
usr_0165,19,0,44843.54,1,3,2,191.9,-10.0,5,1,2,45.66,0,1,1,1,1,6,0.222,12,2,0,1
usr_0166,59,0,58321.92,1,2,0,256.3,52.4,5,1,3,163.2,0,0,1,1,1,3,0.273,180,1,2,1
usr_0167,62,1,82757.98,1,3,2,242.5,57.3,4,1,3,100.67,0,0,0,1,0,0,0.005,999,1,2,1
usr_0168,23,0,91109.67,0,3,3,121.1,-97.7,5,1,1,35.01,0,1,1,1,1,2,0.182,90,2,2,1
usr_0169,45,0,92107.06,1,2,1,299.4,217.1,8,1,1,36.28,0,1,1,0,0,0,0.005,999,1,0,1
usr_0170,45,0,76750.59,1,1,0,216.4,36.6,3,0,0,4.25,1,0,0,1,1,5,0.179,30,2,1,1
usr_0171,61,1,73433.13,1,1,1,96.6,-60.5,2,1,1,49.22,1,0,1,1,0,0,0.005,999,1,1,1
usr_0172,61,1,65665.49,1,4,2,91.7,-94.1,2,0,0,6.99,1,0,0,1,1,7,0.206,5,1,3,0
usr_0173,37,0,69010.5,0,4,1,197.0,-26.7,5,1,1,24.55,1,0,1,1,1,2,0.118,5,2,0,1
usr_0174,47,0,45078.66,1,3,3,233.7,52.9,4,1,3,144.45,0,0,0,1,1,3,0.375,180,2,0,1
usr_0175,28,0,40272.42,1,1,2,98.7,-66.9,3,1,1,26.4,1,0,1,1,0,0,0.005,999,1,2,1
usr_0176,45,1,54939.26,1,2,3,165.8,41.9,3,1,1,34.58,0,0,1,0,0,0,0.005,999,1,0,1
usr_0177,42,0,51936.68,1,3,2,159.2,-16.4,4,1,1,20.39,0,1,0,1,0,0,0.005,999,1,2,1
usr_0178,56,0,46841.9,1,3,0,136.5,-70.4,4,1,1,40.29,1,1,0,0,0,0,0.005,999,1,0,1
usr_0179,50,1,67534.97,1,1,0,235.9,89.5,6,1,4,118.16,0,0,0,0,0,0,0.005,999,1,0,1
usr_0180,18,0,72195.49,0,1,0,209.7,109.8,5,1,1,22.8,0,0,1,0,0,0,0.005,999,1,3,1
usr_0181,44,1,56591.32,1,3,3,114.6,-156.4,3,1,1,41.51,0,0,1,0,0,0,0.005,999,1,1,1
usr_0182,30,0,81595.54,1,2,2,492.7,299.3,9,1,1,43.49,1,0,1,0,0,0,0.005,999,1,0,1
usr_0183,58,0,34449.6,1,1,2,136.9,-34.2,4,1,0,5.49,1,0,0,1,1,4,0.154,12,2,0,0
usr_0184,20,0,51514.13,1,1,0,137.5,-98.1,3,1,1,19.82,0,1,1,0,0,0,0.005,999,1,3,1
usr_0185,56,1,42097.2,1,2,0,291.2,105.5,6,1,2,89.18,1,1,1,1,1,2,0.087,5,2,2,0
usr_0186,23,1,21402.34,0,4,2,261.8,28.5,6,1,0,6.15,0,1,0,0,0,0,0.005,999,1,4,0
usr_0187,25,1,53511.75,1,4,1,111.0,-118.9,2,0,0,5.26,0,1,0,1,1,2,0.083,12,0,3,0
usr_0188,44,0,52808.54,0,3,0,116.9,-12.1,3,0,0,6.2,0,1,0,0,0,0,0.005,999,1,2,1
usr_0189,26,1,82242.1,1,2,2,297.3,98.9,6,1,2,68.02,1,1,1,0,0,0,0.005,999,1,1,1
usr_0190,54,0,66354.61,0,1,0,251.6,2.6,5,1,2,64.14,0,1,1,0,0,0,0.005,999,1,3,1
usr_0191,50,0,36564.64,0,2,0,64.1,-76.0,1,1,1,31.89,1,0,1,1,1,3,0.3,90,2,1,1
usr_0192,59,1,88373.67,1,2,1,64.6,-75.9,3,1,1,26.56,0,0,0,1,1,4,0.121,180,0,3,1
usr_0193,61,0,76978.61,0,3,0,196.9,49.6,4,1,3,70.37,0,0,1,0,0,0,0.005,999,1,2,1
usr_0194,41,0,65477.76,1,2,3,215.8,0.2,4,1,2,58.2,1,1,1,0,0,0,0.005,999,1,2,1
usr_0195,32,0,50923.29,1,1,0,152.7,-38.7,4,1,2,83.05,0,0,0,0,0,0,0.005,999,1,1,0
usr_0196,49,0,37730.09,0,1,0,146.2,43.6,4,1,2,41.65,0,0,1,1,1,2,0.111,30,0,2,1
usr_0197,49,0,48300.28,1,2,0,202.0,8.4,6,1,1,42.73,0,0,1,1,1,5,0.238,60,2,1,1
usr_0198,41,1,74597.48,1,1,2,178.2,8.3,6,1,1,33.15,1,1,1,0,0,0,0.005,999,1,1,0
usr_0199,58,0,88922.55,1,1,1,108.5,-67.0,2,1,3,114.76,1,0,1,0,0,0,0.005,999,1,4,1
usr_0200,29,1,82778.38,0,4,1,416.8,270.3,6,1,3,116.0,0,1,0,1,1,0,0.005,999,1,1,1
usr_0201,56,1,46200.71,0,2,0,279.1,85.2,8,1,0,3.7,0,1,0,0,0,0,0.005,999,1,0,1
usr_0202,19,0,34846.89,0,2,0,81.3,-140.7,2,0,0,6.34,0,1,0,1,1,5,0.167,12,1,2,0
usr_0203,20,0,57535.95,0,4,1,92.9,-61.4,2,1,4,129.67,0,0,1,0,0,0,0.005,999,1,2,1
usr_0204,54,0,23168.09,0,4,3,74.8,-37.9,3,1,1,39.15,1,0,0,1,1,9,0.346,90,1,3,0
usr_0205,34,1,60817.02,1,3,3,170.8,2.9,5,1,3,71.01,1,0,0,1,1,1,0.033,12,2,2,1
usr_0206,19,0,52343.15,1,4,0,169.8,-40.5,4,1,1,22.44,1,0,1,1,0,0,0.005,999,1,0,0
usr_0207,19,1,46611.34,1,2,1,100.3,-62.9,3,0,0,5.32,0,0,0,1,0,0,0.005,999,1,0,1
usr_0208,45,0,26295.34,1,2,3,175.6,55.5,3,0,0,5.58,1,1,0,1,1,7,0.206,12,2,0,0
usr_0209,40,1,64244.8,0,2,1,85.9,-124.6,3,1,0,5.51,1,0,0,1,1,4,0.222,12,1,0,0
usr_0210,54,0,45411.38,0,3,3,114.1,-122.5,2,0,0,5.86,1,1,0,0,0,0,0.005,999,1,2,0
usr_0211,49,0,33941.5,0,3,0,243.0,62.2,4,1,1,48.0,1,1,0,1,1,3,0.188,180,1,1,1
usr_0212,50,1,18000.0,0,2,3,57.1,-58.7,1,1,2,72.25,1,0,1,1,1,4,0.286,90,2,1,1
usr_0213,18,1,54504.73,1,1,2,242.6,75.3,6,1,4,113.49,1,1,0,1,1,2,0.067,60,2,2,1
usr_0214,36,0,86900.53,1,3,3,270.2,84.1,6,1,1,41.18,0,1,1,0,0,0,0.005,999,1,1,1
